device_row,column,label,command,key
"2","1","Run Selection or Line","positronDeck.runSelection","ctrl+alt+shift+f13"
"2","2","Run File","positronDeck.runFile","ctrl+alt+shift+f21"
"2","3","Test Project","positronDeck.test","ctrl+alt+shift+f14"
"2","4","Quarto: Render","positronDeck.render","ctrl+alt+shift+f15"
"2","5","Run App","positronDeck.runApp","ctrl+alt+shift+f22"
"2","6","Open Terminal","positronDeck.openTerminal","ctrl+alt+shift+f23"
"2","7","Open Console","positronDeck.openConsole","ctrl+alt+shift+f24"
"2","8","Command Palette","positronDeck.commandPalette","ctrl+shift+f13"
"3","1","Git: Stage All","positronDeck.gitStageAll","ctrl+alt+shift+f16"
"3","2","Git: Commit","positronDeck.gitCommit","ctrl+alt+shift+f17"
"3","3","Git: Pull","positronDeck.gitPull","ctrl+alt+shift+f18"
"3","4","Git: Push","positronDeck.gitPush","ctrl+alt+shift+f19"
"3","5","Git: Sync","positronDeck.gitSync","ctrl+shift+f14"
"3","6","Git: Show Diff","positronDeck.gitShowDiff","ctrl+shift+f15"
"3","7","Git: Open History","positronDeck.gitOpenLog","ctrl+shift+f16"
"3","8","Open Source Control","positronDeck.openSourceControl","ctrl+shift+f17"
"4","1","Format Document","positronDeck.format","ctrl+shift+f18"
"4","2","R Package: Lint","positronDeck.rLint","ctrl+shift+f19"
"4","3","R Package: Check","positronDeck.rCheck","ctrl+shift+f20"
"4","4","R Package: Document","positronDeck.rDocument","ctrl+shift+f21"
"4","5","Quarto: Preview","positronDeck.preview","ctrl+shift+f22"
"4","6","Restart Runtime","positronDeck.restartRuntime","ctrl+shift+f23"
"4","7","Open Problems","positronDeck.openProblems","ctrl+shift+f24"
"4","8","Deploy","positronDeck.deploy","ctrl+alt+shift+f20"
